Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
SHT Kandamby (SL),2008-2011,5,4,0,13,10,3.25,21,61.90,0,0,1,0,0,
SKW Kelly (BMUDA),2008-2008,3,2,2,13,11*,-,24,54.16,0,0,0,0,0,
Z Khan (INDIA),2006-2012,17,4,2,13,9,6.50,10,130.00,0,0,0,0,1,
Lucky Ali (DEN),2019-2019,2,2,0,13,7,6.50,18,72.22,0,0,0,1,0,
JL Martel (GUE),2019-2019,3,1,1,13,13*,-,6,216.66,0,0,0,1,1,
P Masih (ROM),2020-2020,3,1,0,13,13,13.00,18,72.22,0,0,0,0,0,
Mohammad Rafique (BDESH),2006-2006,1,1,0,13,13,13.00,5,260.00,0,0,0,3,0,
Muhammad Hamayun (Saudi),2019-2019,4,2,0,13,8,6.50,10,130.00,0,0,0,1,1,
HC Overdijk (NL),2018-2019,4,1,0,13,13,13.00,7,185.71,0,0,0,2,0,
CMW Read (ENG),2006-2006,1,1,0,13,13,13.00,11,118.18,0,0,0,2,0,
OFJ Tonuu (Samoa),2019-2019,4,3,1,13,6*,6.50,18,72.22,0,0,0,0,0,
Usman Mushtaq (UAE),2016-2016,3,2,1,13,9,13.00,24,54.16,0,0,0,1,0,
S Vashisht (ROM),2019-2021,10,3,2,13,9*,13.00,14,92.85,0,0,0,1,0,
F Achelam (UGA),2019-2020,4,3,2,12,7,12.00,25,48.00,0,0,0,0,1,
J Anderson (IRE),2015-2015,4,2,0,12,9,6.00,18,66.66,0,0,0,1,0,
Arslan Ahmed (PORT),2019-2019,3,3,0,12,11,4.00,32,37.50,0,0,1,1,0,
Asad Mohammad (GER),2019-2020,10,4,1,12,5,4.00,12,100.00,0,0,0,2,0,
Avi Dixit (SGP),2019-2019,1,1,1,12,12*,-,8,150.00,0,0,0,0,1,
HMCM Bandara (SL),2006-2009,4,3,1,12,7,6.00,15,80.00,0,0,0,0,0,
Fazal Niazai (AFG),2019-2019,1,1,0,12,12,12.00,15,80.00,0,0,0,1,0,
CJ Gannon (USA),2019-2019,4,3,2,12,7*,12.00,9,133.33,0,0,0,0,1,
R Gaznavi (SGP),2019-2020,5,3,0,12,8,4.00,12,100.00,0,0,1,2,0,
H Helva (TKY),2019-2019,4,4,0,12,7,3.00,25,48.00,0,0,2,2,0,
HJH Marshall (NZ),2005-2006,3,3,0,12,8,4.00,14,85.71,0,0,0,0,0,
D Mejia (CRC),2019-2019,3,1,0,12,12,12.00,10,120.00,0,0,0,2,0,
Nader Zahadiafzal (Iran),2020-2020,3,3,0,12,12,4.00,24,50.00,0,0,2,2,0,
NV Ojha (INDIA),2010-2010,2,2,0,12,10,6.00,27,44.44,0,0,0,2,0,
A Patel (MWI),2019-2019,2,2,1,12,6*,12.00,23,52.17,0,0,0,2,0,
M Patel (Chile),2019-2019,3,3,0,12,8,4.00,15,80.00,0,0,1,1,1,
KOA Powell (WI),2014-2014,1,1,0,12,12,12.00,14,85.71,0,0,0,1,0,
Raag Kapur (HKG),2019-2019,4,3,1,12,6,6.00,16,75.00,0,0,0,1,0,
R Rampaul (WI),2007-2015,23,6,5,12,8,12.00,21,57.14,0,0,0,0,0,
NA Saini (INDIA),2019-2021,11,3,3,12,11*,-,11,109.09,0,0,0,2,0,
Ali Ivan (Mald),2019-2019,1,1,0,11,11,11.00,39,28.20,0,0,0,0,0,
Apon Mustafizur (SRB),2019-2021,4,4,0,11,11,2.75,37,29.72,0,0,3,2,0,
Atif Kamal (LUX),2019-2021,7,3,0,11,11,3.66,18,61.11,0,0,2,1,0,
A Bulow (DEN),2019-2019,2,1,0,11,11,11.00,13,84.61,0,0,0,0,1,
JD Campbell (WI),2019-2019,2,2,0,11,11,5.50,16,68.75,0,0,1,2,0,
FH Edwards (WI),2007-2021,26,6,4,11,7*,5.50,14,78.57,0,0,1,1,0,
Fayyaz Ahmed (UAE),2015-2015,1,1,0,11,11,11.00,12,91.66,0,0,0,2,0,
S Goustis (GRC),2019-2019,3,1,0,11,11,11.00,19,57.89,0,0,0,0,0,
AJ Hall (SA),2006-2006,2,1,0,11,11,11.00,10,110.00,0,0,0,1,0,
Inzamam-ul-Haq (PAK),2006-2006,1,1,1,11,11*,-,15,73.33,0,0,0,0,1,
Khurram Manzoor (PAK),2016-2016,3,3,0,11,10,3.66,27,40.74,0,0,1,1,0,
IGTR Kumara (Mald),2020-2020,3,3,0,11,5,3.66,37,29.72,0,0,0,1,0,
KS Lokuarachchi (SL),2012-2012,2,2,0,11,11,5.50,13,84.61,0,0,1,1,0,
WK McCallan (IRE),2008-2009,9,3,2,11,9*,11.00,15,73.33,0,0,1,1,0,
WJ Malinda (Mald),2019-2019,3,2,1,11,10*,11.00,9,122.22,0,0,0,0,1,
AK Mandal (NEPAL),2015-2015,2,2,0,11,9,5.50,25,44.00,0,0,0,0,0,
D Marks (MLT),2019-2019,2,2,2,11,6*,-,12,91.66,0,0,0,0,0,
AA Mulla (CAN),2008-2008,4,4,0,11,8,2.75,19,57.89,0,0,1,2,0,
Sahel Zadran (Aut),2021-2021,7,3,2,11,8,11.00,7,157.14,0,0,0,0,0,
Saqlain Arshad (QAT),2019-2019,2,1,0,11,11,11.00,10,110.00,0,0,0,0,1,
V Shetty (UAE),2014-2014,2,2,1,11,10,11.00,13,84.61,0,0,0,1,0,
Shoriful Islam (BDESH),2021-2021,6,3,1,11,6,5.50,10,110.00,0,0,0,1,1,
Suresh Kumar (Peru),2019-2019,2,2,1,11,10*,11.00,15,73.33,0,0,0,0,0,
Syed Amanullah (GRC),2021-2021,4,2,1,11,11*,11.00,14,78.57,0,0,1,0,1,
SW Tait (AUS),2007-2016,21,6,2,11,6,2.75,15,73.33,0,0,1,0,1,
H Thaker (CAN),2019-2019,1,1,0,11,11,11.00,9,122.22,0,0,0,0,1,
W Uisuk (THAI),2020-2020,4,4,0,11,5,2.75,40,27.50,0,0,0,1,0,
TCW Veillard (GUE),2019-2019,4,2,1,11,8,11.00,17,64.70,0,0,0,0,0,
RM West (IRE),2009-2009,5,4,1,11,8,3.66,11,100.00,0,0,0,1,0,
Yasir Shah (PAK),2011-2011,2,1,1,11,11*,-,7,157.14,0,0,0,1,0,
Aftab Ahmed (2) (DEN),2019-2019,1,1,0,10,10,10.00,13,76.92,0,0,0,1,0,
Asif Bevinje (ROM),2020-2020,3,2,0,10,8,5.00,17,58.82,0,0,0,0,0,
R Avery (),2019-2019,4,3,0,10,9,3.33,24,41.66,0,0,1,0,0,
CS Baugh (WI),2008-2012,3,3,0,10,7,3.33,12,83.33,0,0,0,1,0,
N Pradeep (SL),2016-2021,16,6,5,10,8*,10.00,15,66.66,0,0,1,1,0,
S Hallett (Peru),2019-2019,4,4,0,10,5,2.50,16,62.50,0,0,1,1,0,
MJ Henry (NZ),2014-2017,6,2,1,10,10,10.00,5,200.00,0,0,0,2,0,
S Jyoti (CAN),2008-2008,2,2,1,10,10*,10.00,20,50.00,0,0,1,0,0,
G Kaltongga (VAN),2019-2019,3,2,0,10,10,5.00,12,83.33,0,0,1,1,0,
RWT Key (ENG),2009-2009,1,1,1,10,10*,-,8,125.00,0,0,0,0,0,
S Mahmood (ENG),2019-2021,9,4,3,10,4,10.00,12,83.33,0,0,0,1,0,
ZE Matsinhe (Moz),2019-2019,7,4,1,10,6*,3.33,17,58.82,0,0,1,0,1,
Mohammad Ghazanfar (HKG),2019-2019,5,2,1,10,6*,10.00,10,100.00,0,0,0,1,0,
S Nerandzic (SRB),2019-2019,2,2,0,10,5,5.00,33,30.30,0,0,0,1,0,
M Ntini (SA),2005-2011,10,4,2,10,5,5.00,11,90.90,0,0,1,2,0,
PP Ojha (INDIA),2009-2010,6,1,1,10,10*,-,6,166.66,0,0,0,0,1,
BA Parchment (WI),2007-2007,1,1,0,10,10,10.00,6,166.66,0,0,0,1,1,
SL Perera (Ghana),2019-2019,2,2,0,10,7,5.00,23,43.47,0,0,0,0,0,
P Raho (PNG),2016-2016,2,2,2,10,8*,-,6,166.66,0,0,0,0,1,
SHA Rance (NZ),2017-2019,8,3,0,10,8,3.33,21,47.61,0,0,0,0,0,
A Rangaswamy (Botsw),2019-2019,4,3,0,10,7,3.33,13,76.92,0,0,1,0,1,
D Ravu (PNG),2019-2019,17,4,1,10,6,3.33,9,111.11,0,0,1,1,0,
GA Reynold (Blz),2019-2019,3,2,1,10,6*,10.00,10,100.00,0,0,0,0,1,
ACL Richards (WI),2007-2007,1,1,0,10,10,10.00,15,66.66,0,0,0,1,0,
Saud Islam (UGA),2021-2021,2,2,0,10,10,5.00,16,62.50,0,0,1,1,0,
ZE Surkari (CAN),2008-2008,4,3,0,10,6,3.33,33,30.30,0,0,1,0,0,
SR Tendulkar (INDIA),2006-2006,1,1,0,10,10,10.00,12,83.33,0,0,0,2,0,
Usman Qadir (PAK),2020-2021,14,4,2,10,4*,5.00,14,71.42,0,0,1,0,0,
MA Wood (ENG),2015-2021,17,2,2,10,5*,-,12,83.33,0,0,0,1,0,
Zahoor Khan (UAE),2017-2020,22,6,2,10,6,2.50,20,50.00,0,0,1,1,0,
Zakir Hasan (BDESH),2018-2018,1,1,0,10,10,10.00,9,111.11,0,0,0,1,0,
N Zimonjic (SRB),2021-2021,3,2,0,10,10,5.00,16,62.50,0,0,1,1,0,
Afsar Zazai (AFG),2013-2013,1,1,0,9,9,9.00,21,42.85,0,0,0,0,0,
Anam Mollik (ITA),2019-2019,2,1,0,9,9,9.00,10,90.00,0,0,0,1,0,
Anwar Rahman (MAL),2019-2021,15,7,3,9,3*,2.25,23,39.13,0,0,1,0,0,
P Arora (Mex),2019-2019,2,2,1,9,6*,9.00,4,225.00,0,0,0,0,1,
HH Banner (Blz),2019-2019,3,2,1,9,6,9.00,10,90.00,0,0,0,0,1,
JJ Celestine (BMUDA),2008-2008,3,3,0,9,7,3.00,17,52.94,0,0,1,0,0,
FRJ Coleman (SCOT),2013-2013,1,1,0,9,9,9.00,13,69.23,0,0,0,1,0,
BM Duckett (ENG),2019-2019,1,1,0,9,9,9.00,7,128.57,0,0,0,1,0,
Elias Sunny (BDESH),2012-2012,7,4,2,9,5,4.50,9,100.00,0,0,0,1,0,
H Hiri (PNG),2016-2019,5,4,0,9,4,2.25,15,60.00,0,0,0,0,0,
NA Janes (THAI),2019-2019,2,2,0,9,9,4.50,11,81.81,0,0,1,1,0,
N Knights (IOM),2020-2020,1,1,0,9,9,9.00,9,100.00,0,0,0,2,0,
JS Kundi (KENYA),2019-2019,6,4,0,9,6,2.25,22,40.90,0,0,1,1,0,
R McLaren (SA),2009-2014,12,4,3,9,6*,9.00,13,69.23,0,0,0,0,0,
Mohammad Asif (PAK),2006-2010,11,3,3,9,5*,-,3,300.00,0,0,0,2,0,
Muhammad Asjed (ESP),2019-2019,2,1,0,9,9,9.00,9,100.00,0,0,0,1,0,
JS Patel (NZ),2005-2008,11,4,1,9,5,3.00,14,64.28,0,0,1,1,0,
WKD Perkins (WI),2008-2008,1,1,0,9,9,9.00,11,81.81,0,0,0,1,0,
VRCF Poubel (),2019-2019,3,3,2,9,5*,9.00,15,60.00,0,0,0,0,0,
A Poulose (OMAN),2017-2017,3,3,0,9,9,3.00,14,64.28,0,0,2,2,0,
IH Romaine (BMUDA),2008-2008,2,2,0,9,8,4.50,20,45.00,0,0,0,0,0,
Sakib Hasan (SRB),2019-2019,2,2,0,9,8,4.50,7,128.57,0,0,0,1,0,
MM Sarwar (KUW),2019-2019,5,3,1,9,8,4.50,9,100.00,0,0,1,0,1,
S Sengupta (CZK-R),2021-2021,2,1,0,9,9,9.00,7,128.57,0,0,0,1,0,
RAJ Smith (SCOT),2019-2019,2,1,1,9,9*,-,7,128.57,0,0,0,1,0,
B Stanlake (AUS),2017-2019,19,2,1,9,7,9.00,12,75.00,0,0,0,0,1,
T Wangchuk jnr (BHU),2019-2019,2,2,0,9,9,4.50,17,52.94,0,0,1,2,0,
S Waqas Ahmed (NOR),2019-2019,5,3,1,9,8*,4.50,20,45.00,0,0,1,0,0,
Abbas Saad (Saudi),2019-2019,2,2,0,8,8,4.00,8,100.00,0,0,1,1,0,
Adil Butt (Saudi),2020-2020,3,2,1,8,6*,8.00,10,80.00,0,0,0,0,0,
S Appu (MLT),2019-2019,4,4,1,8,6,2.66,14,57.14,0,0,0,0,0,
B Banerjee (Mex),2019-2019,6,4,2,8,6*,4.00,19,42.10,0,0,2,0,0,
AM Blignaut (ZIM),2010-2010,1,1,0,8,8,8.00,8,100.00,0,0,0,1,0,
GH Bodi (SA),2007-2007,1,1,0,8,8,8.00,25,32.00,0,0,0,0,0,
JJ Bumrah (INDIA),2016-2020,50,6,4,8,7,4.00,13,61.53,0,0,1,1,0,
Charanjeet Singh (ITA),2019-2019,3,2,2,8,8*,-,9,88.88,0,0,0,1,0,
H Dandapani (Fin),2019-2019,5,3,2,8,5,8.00,15,53.33,0,0,0,0,0,
AS Dean (CAN),2008-2013,2,2,0,8,7,4.00,10,80.00,0,0,0,0,0,
JD Freyone (GIBR),2019-2019,4,4,0,8,4,2.00,29,27.58,0,0,2,0,0,
Habib Ahmadzai (Aut),2019-2019,2,2,1,8,6*,8.00,10,80.00,0,0,0,1,0,
Hamza Dar (ESP),2019-2019,1,1,0,8,8,8.00,6,133.33,0,0,0,1,0,
HMRKB Herath (SL),2011-2016,17,6,3,8,3,2.66,12,66.66,0,0,0,0,0,
E Isaneez (UGA),2019-2019,3,2,2,8,7*,-,13,61.53,0,0,0,0,0,
S Randiv (SL),2010-2011,7,2,0,8,6,4.00,6,133.33,0,0,0,1,0,
Kuldeep Singh (PHI),2019-2019,4,3,0,8,6,2.66,16,50.00,0,0,0,0,0,
CJ Langford (IOM),2020-2020,1,1,0,8,8,8.00,6,133.33,0,0,0,1,0,
NCK Liyanage (MAL),2019-2019,6,3,1,8,8,4.00,8,100.00,0,0,1,1,0,
BAW Mendis (SL),2008-2014,39,8,5,8,4*,2.66,17,47.05,0,0,0,1,0,
M Mooketsi (Botsw),2019-2019,7,5,0,8,3,1.60,24,33.33,0,0,1,0,0,
Mujeeb Ur Rahman (AFG),2018-2020,19,3,3,8,8*,-,8,100.00,0,0,0,1,0,
WA Peatfield (GUE),2019-2020,9,2,1,8,7*,8.00,12,66.66,0,0,0,1,0,
CAK Rajitha (SL),2016-2019,10,4,2,8,5,4.00,23,34.78,0,0,1,0,0,
S Rengarajan (CZK-R),2020-2020,3,2,2,8,6*,-,15,53.33,0,0,0,0,0,
N Senamontree (THAI),2020-2020,4,4,1,8,4,2.66,23,34.78,0,0,1,0,0,
Shahadat Hossain (BDESH),2006-2013,6,5,3,8,4*,4.00,12,66.66,0,0,1,0,0,
I Sharma (INDIA),2008-2013,14,3,2,8,5*,8.00,9,88.88,0,0,1,1,0,
Simranjit Singh (ITA),2019-2019,1,1,0,8,8,8.00,9,88.88,0,0,0,0,0,
L Sipamla (SA),2019-2021,9,2,1,8,8*,8.00,11,72.72,0,0,1,1,0,
O Thomas (WI),2018-2021,17,5,3,8,8*,4.00,11,72.72,0,0,2,2,0,
BV Vitori (ZIM),2012-2016,11,2,2,8,7*,-,7,114.28,0,0,0,0,0,
Yasar Idrees (KUW),2019-2019,1,1,0,8,8,8.00,4,200.00,0,0,0,0,1,
Al-Amin Hossain (BDESH),2013-2020,31,6,4,7,5*,3.50,12,58.33,0,0,1,1,0,
RP Arnold (SL),2006-2006,1,1,0,7,7,7.00,7,100.00,0,0,0,0,0,
Arshad Mazarzei (Iran),2020-2020,3,3,0,7,5,2.33,40,17.50,0,0,0,1,0,
NB Budayair (NEPAL),2014-2014,4,3,1,7,5,3.50,19,36.84,0,0,1,0,0,
MA Carberry (ENG),2014-2014,1,1,0,7,7,7.00,7,100.00,0,0,0,1,0,
PKD Chase (IRE),2018-2019,12,5,4,7,4,7.00,13,53.84,0,0,0,1,0,
DK Dahani (Iran),2020-2020,3,3,0,7,4,2.33,8,87.50,0,0,1,1,0,
DK Dahyabhai Ahir (PNM),2019-2019,2,1,0,7,7,7.00,10,70.00,0,0,0,1,0,
DC Delany (IRE),2019-2019,8,2,0,7,7,3.50,6,116.66,0,0,1,0,0,
MR Dorgan (SRB),2021-2021,3,2,1,7,4,7.00,15,46.66,0,0,0,0,0,
P Kumar (INDIA),2008-2012,10,3,0,7,6,2.33,16,43.75,0,0,1,0,0,
RAS Lakmal (SL),2011-2019,11,6,3,7,5*,2.33,11,63.63,0,0,2,1,0,
ND McKenzie (SA),2006-2009,2,1,1,7,7*,-,8,87.50,0,0,0,0,0,
A Nanda (LUX),2019-2020,5,2,0,7,5,3.50,9,77.77,0,0,0,1,0,
A Nao (PNG),2017-2017,2,2,2,7,7*,-,4,175.00,0,0,0,1,0,
Naveen-ul-Haq (AFG),2019-2021,8,2,1,7,5,7.00,7,100.00,0,0,0,1,0,
Nazwan Ismail (Mald),2019-2020,4,2,2,7,5*,-,10,70.00,0,0,0,0,0,
L Ngidi (SA),2017-2021,23,5,1,7,4,1.75,17,41.17,0,0,2,0,0,
J Nyumbu (ZIM),2018-2018,2,2,2,7,6*,-,11,63.63,0,0,0,1,0,
RB Patel (BUL),2020-2021,10,3,3,7,3*,-,14,50.00,0,0,0,0,0,
Qadeer Ahmed (UAE),2015-2019,10,4,3,7,5*,7.00,12,58.33,0,0,1,1,0,
LH Rodrigues (),2019-2019,4,3,2,7,4*,7.00,12,58.33,0,0,1,1,0,
GA Rogers (SCOT),2008-2009,2,2,2,7,6*,-,8,87.50,0,0,0,0,0,
E Schiferli (NL),2008-2010,7,3,1,7,5*,3.50,16,43.75,0,0,1,0,0,
JN Snape (ENG),2007-2007,1,1,0,7,7,7.00,11,63.63,0,0,0,0,0,
Suhail Sadiq (LUX),2019-2019,2,1,1,7,7*,-,5,140.00,0,0,0,0,1,
Sumair Khan (MLT),2019-2019,1,1,0,7,7,7.00,6,116.66,0,0,0,1,0,
Syed Rasel (BDESH),2007-2008,8,3,1,7,6,3.50,9,77.77,0,0,0,1,0,
Tanveer Ahmed (HKG),2016-2017,5,2,1,7,7*,7.00,11,63.63,0,0,1,1,0,
LV van Beek (NL),2014-2016,8,4,1,7,4*,2.33,15,46.66,0,0,0,0,0,
Vichanath Singh (THAI),2019-2020,8,4,1,7,3*,2.33,18,38.88,0,0,0,0,0,
T Zotos (GRC),2021-2021,4,2,1,7,6,7.00,5,140.00,0,0,0,0,1,
Adnan Mufti (UAE),2017-2017,1,1,1,6,6*,-,7,85.71,0,0,0,0,0,
Aftab Hussain (HKG),2020-2020,9,2,2,6,5*,-,4,150.00,0,0,0,1,0,
MJ Ansell (IOM),2020-2020,1,1,0,6,6,6.00,7,85.71,0,0,0,1,0,
Azam Khan (PAK),2021-2021,3,2,1,6,5*,6.00,7,85.71,0,0,0,1,0,
DG Brownlie (NZ),2010-2014,5,5,0,6,5,1.20,18,33.33,0,0,3,1,0,
DE Burgess (Samoa),2019-2019,4,4,0,6,3,1.50,12,50.00,0,0,2,0,0,
SDJJ Dima (Moz),2019-2019,4,2,0,6,3,3.00,8,75.00,0,0,0,0,0,
RMS Eranga (SL),2012-2013,3,1,0,6,6,6.00,7,85.71,0,0,0,1,0,
L Evile (Samoa),2019-2019,4,1,0,6,6,6.00,7,85.71,0,0,0,1,0,
Haris Rauf (PAK),2020-2021,21,3,1,6,6,3.00,7,85.71,0,0,1,0,1,
C Hartmann (IOM),2020-2020,1,1,0,6,6,6.00,14,42.85,0,0,0,0,0,
NM Hauritz (AUS),2009-2009,3,2,0,6,4,3.00,10,60.00,0,0,0,1,0,
R Hekure (PNG),2019-2019,8,4,1,6,2*,2.00,12,50.00,0,0,0,0,0,
PJ Hughes (AUS),2014-2014,1,1,0,6,6,6.00,8,75.00,0,0,0,1,0,
Iqbal Hossain (Aut),2021-2021,3,1,0,6,6,6.00,3,200.00,0,0,0,0,1,
Javed Ahmadi (AFG),2012-2017,3,2,0,6,6,3.00,7,85.71,0,0,1,1,0,
Jay Odedra (OMAN),2019-2019,3,1,1,6,6*,-,6,100.00,0,0,0,0,0,
D Maisuria (Botsw),2019-2019,6,3,2,6,6*,6.00,11,54.54,0,0,1,0,0,
Maqsood Ahmad (Belg),2021-2021,3,3,1,6,3,3.00,9,66.66,0,0,0,0,0,
I Master (Botsw),2019-2019,2,2,0,6,4,3.00,8,75.00,0,0,0,1,0,
Z McLaughlin (Caym),2019-2019,3,2,2,6,4*,-,16,37.50,0,0,0,0,0,
KO Meth (ZIM),2012-2012,2,1,1,6,6*,-,6,100.00,0,0,0,0,0,
J Mulder (IRE),2016-2017,8,4,2,6,5*,3.00,11,54.54,0,0,1,0,0,
A Nortje (SA),2019-2021,9,4,2,6,4*,3.00,17,35.29,0,0,1,0,0,
Omar Hayat (DEN),2019-2019,2,2,0,6,5,3.00,4,150.00,0,0,0,0,0,
JA Rudolph (SA),2006-2006,1,1,1,6,6*,-,7,85.71,0,0,0,0,0,
Said Hakim (Belg),2021-2021,1,1,1,6,6*,-,12,50.00,0,0,0,0,0,
OF Smith (WI),2018-2018,2,1,0,6,6,6.00,5,120.00,0,0,0,1,0,
R Strydom (IRE),2008-2008,4,2,1,6,5*,6.00,7,85.71,0,0,0,0,0,
Tauqeer Hussain (ESP),2019-2020,6,2,1,6,3*,6.00,10,60.00,0,0,0,0,0,
HER Tyler (PHI),2019-2019,2,1,0,6,6,6.00,9,66.66,0,0,0,0,0,
TC Vine (ESP),2019-2020,8,1,1,6,6*,-,7,85.71,0,0,0,1,0,
ME Sanuth (OMAN),2020-2020,1,1,0,5,5,5.00,7,71.42,0,0,0,0,0,
M Ansari (OMAN),2015-2016,11,4,4,5,3*,-,10,50.00,0,0,0,0,0,
Asad Ali Rehemtulla (BUL),2020-2020,3,3,1,5,3,2.50,11,45.45,0,0,0,0,0,
MS Atapattu (SL),2006-2006,2,1,0,5,5,5.00,8,62.50,0,0,0,0,0,
Atif Mehmood (ESP),2019-2019,9,2,2,5,5*,-,8,62.50,0,0,0,0,0,
MA Baig (MWI),2019-2019,7,4,0,5,5,1.25,12,41.66,0,0,3,1,0,
JP Behrendorff (AUS),2017-2021,9,1,0,5,5,5.00,7,71.42,0,0,0,0,0,
A Bhagwat (HKG),2019-2019,4,4,0,5,3,1.25,16,31.25,0,0,1,0,0,
IG Butler (NZ),2009-2013,19,6,5,5,2*,5.00,10,50.00,0,0,0,0,0,
T Caruana (GIBR),2019-2019,2,1,0,5,5,5.00,13,38.46,0,0,0,0,0,
YS Chahal (INDIA),2016-2021,49,4,2,5,3*,2.50,11,45.45,0,0,0,0,0,
RD Chahar (INDIA),2019-2021,5,1,0,5,5,5.00,5,100.00,0,0,0,1,0,
Fayaz Mohammad (BUL),2020-2020,1,1,1,5,5*,-,2,250.00,0,0,0,1,0,
S Grover (CZK-R),2021-2021,2,1,1,5,5*,-,3,166.66,0,0,0,0,0,
Hasheem Shahzad (MLT),2019-2019,2,2,0,5,5,2.50,9,55.55,0,0,1,1,0,
Imran Ali (KUW),2019-2019,4,2,1,5,5*,5.00,6,83.33,0,0,1,0,0,
Ismail Sardar (THAI),2020-2020,2,2,0,5,3,2.50,16,31.25,0,0,0,0,0,
Junaid Siddique (UAE),2019-2020,13,6,2,5,3,1.25,18,27.77,0,0,2,0,0,
LP Kasturiarachchige (Aut),2021-2021,5,1,1,5,5*,-,3,166.66,0,0,0,1,0,
I Katzarski (BUL),2019-2021,4,2,0,5,3,2.50,12,41.66,0,0,0,0,0,
D Kegasitswe (Botsw),2019-2019,4,2,2,5,4*,-,11,45.45,0,0,0,0,0,
Khawar Zafar (Saudi),2020-2020,2,1,0,5,5,5.00,3,166.66,0,0,0,1,0,
TCR Kimber (GUE),2019-2019,3,3,0,5,2,1.66,13,38.46,0,0,0,0,0,
VJ Kingma (NL),2016-2021,9,3,1,5,4,2.50,14,35.71,0,0,0,0,0,
A Krishna (SGP),2019-2020,7,3,1,5,4,2.50,4,125.00,0,0,1,1,0,
CBRLS Kumara (SL),2019-2020,7,3,2,5,4,5.00,3,166.66,0,0,0,1,0,
AM McCarthy (WI),2018-2018,1,1,0,5,5,5.00,8,62.50,0,0,0,0,0,
GD McGrath (AUS),2005-2005,2,1,0,5,5,5.00,12,41.66,0,0,0,0,0,
CS Martin (NZ),2007-2008,6,1,1,5,5*,-,6,83.33,0,0,0,0,0,
Mohammad Hasnain (PAK),2019-2021,17,6,5,5,4*,5.00,13,38.46,0,0,0,1,0,
Mohammad Salman (PAK),2011-2011,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0,
Mohammed Nadeem (QAT),2019-2020,22,5,4,5,3,5.00,9,55.55,0,0,0,0,0,
A Morris (Caym),2019-2019,6,4,2,5,3*,2.50,17,29.41,0,0,1,0,0,
Muhammad Ansar (KUW),2020-2020,4,1,0,5,5,5.00,5,100.00,0,0,0,1,0,
GRD Munasinghe (ITA),2019-2019,8,4,1,5,4*,1.66,13,38.46,0,0,2,1,0,
T Mupariwa (ZIM),2007-2008,4,2,2,5,3*,-,3,166.66,0,0,0,0,0,
N M'shangwe (ZIM),2013-2014,5,2,1,5,5*,5.00,4,125.00,0,0,1,1,0,
GM Ntambalika (MWI),2019-2019,3,1,0,5,5,5.00,11,45.45,0,0,0,0,0,
MW Parkinson (ENG),2019-2021,4,2,0,5,5,2.50,6,83.33,0,0,1,1,0,
Parvez Rasool (INDIA),2017-2017,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0,
NK Patel (USA),2019-2019,4,2,1,5,5*,5.00,10,50.00,0,0,1,0,0,
D Paterson (SA),2017-2018,8,2,1,5,4*,5.00,2,250.00,0,0,0,1,0,
JL Pattinson (AUS),2011-2012,4,2,2,5,5*,-,3,166.66,0,0,0,1,0,
Pavandeep Singh (MAL),2019-2021,22,7,6,5,2*,5.00,9,55.55,0,0,0,0,0,
JE Pitcher (BMUDA),2019-2019,3,1,1,5,5*,-,4,125.00,0,0,0,0,0,
AG Prince (SA),2005-2005,1,1,0,5,5,5.00,6,83.33,0,0,0,0,0,
RJ Ranpura (OMAN),2015-2016,3,2,2,5,5*,-,8,62.50,0,0,0,0,0,
C Sakariya (INDIA),2021-2021,2,1,1,5,5*,-,9,55.55,0,0,0,0,0,
BM Scholtz (NAM),2019-2021,17,4,3,5,3*,5.00,10,50.00,0,0,1,0,0,
RJ Sidebottom (ENG),2007-2010,18,1,1,5,5*,-,4,125.00,0,0,0,1,0,
M Spry (Peru),2019-2019,4,2,1,5,3*,5.00,11,45.45,0,0,0,0,0,
R Telemachus (SA),2006-2007,3,1,1,5,5*,-,3,166.66,0,0,0,0,0,
BM Tickner (NZ),2019-2020,6,1,1,5,5*,-,6,83.33,0,0,0,0,0,
DR Tuffey (NZ),2005-2010,3,2,1,5,5*,5.00,5,100.00,0,0,1,1,0,
C Vorster (GUE),2019-2019,1,1,0,5,5,5.00,8,62.50,0,0,0,0,0,
OJ Webster (IOM),2020-2020,1,1,0,5,5,5.00,7,71.42,0,0,0,1,0,
Ali Abbas (Saudi),2020-2020,1,1,1,4,4*,-,4,100.00,0,0,0,0,0,
TD Astle (NZ),2016-2021,4,2,0,4,3,2.00,10,40.00,0,0,0,0,0,
Baljit Singh (ITA),2019-2019,8,3,0,4,3,1.33,16,25.00,0,0,1,0,0,
GJ Batty (ENG),2009-2009,1,1,0,4,4,4.00,7,57.14,0,0,0,0,0,
P Bharat Patel (PNM),2019-2019,2,1,1,4,4*,-,7,57.14,0,0,0,0,0,
SR Bhudia (KENYA),2019-2019,4,3,1,4,3,2.00,16,25.00,0,0,1,0,0,
A Bishnoi (MLT),2021-2021,5,4,1,4,3*,1.33,8,50.00,0,0,2,0,0,
JAR Blain (SCOT),2007-2008,6,3,1,4,3*,2.00,5,80.00,0,0,1,0,0,
CJ Boyce (AUS),2014-2016,7,2,1,4,3,4.00,7,57.14,0,0,0,0,0,
